page_num,row_num,full_link,company,co_hq_city,co_hq_zip,labor_area,id,notice_date
page005.html,108,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=400,Dyncorp  ,Tucson  ,85704  ,6  ,400,2020-01-15
page005.html,109,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=30,Embassy Suites Hotel (Phoenix)  ,Phoenix  ,85008  ,7  ,30,2010-06-14
page005.html,110,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=409,Embassy Suites Tempe  ,Tempe  ,85282  ,5  ,409,2020-03-18
page005.html,111,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=179,"Enterprise Recovery Ststems, Inc  ",Oak Brook  ,60523  ,7  ,179,2015-03-31
page005.html,112,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=311,Essity North America LLC  ,Bellemont  ,86015  ,10  ,311,2018-09-18
page005.html,113,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=378,First Solar  ,Tempe  ,85281  ,7  ,378,2019-10-30
page005.html,114,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=114,Fortner Aerospace/PCC Aerostuructures  ,Prescott  ,86301  ,12  ,114,2013-12-04
page005.html,115,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=415,Four Seasons Resort  ,Scottsdale  ,85262  ,7  ,415,2020-03-20
page005.html,116,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=219,Freeport-McMoRan  ,Phoenix  ,85004  ,14  ,219,2015-08-27
page005.html,117,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=220,Freeport-McMoRan Sierrita Inc.  ,Phoenix  ,85004  ,6  ,220,2015-10-22
page005.html,118,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=312,G/O Digital  ,Phoenix  ,85004  ,5  ,312,2018-09-20
page005.html,119,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=315,Gannett Satellite Information Network  ,Phoenix  ,85004  ,5  ,315,2018-09-26
page005.html,120,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=120,GE Capital  ,Phoenix  ,85040  ,5  ,120,2014-01-15
page005.html,121,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=238,GENCO  ,Pittsburgh  ,15238  ,7  ,238,2016-03-29
page005.html,122,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=113,Geneeral Dynamics Information Technology  ,Fairfax  ,22030  ,6  ,113,2013-07-17
page005.html,123,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=116,General Dynamics Information Technology  ,Fairfax  ,22031  ,5  ,116,2014-03-06
page005.html,124,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=337,General Dynamics Information Technology  ,Fort Huachuca  ,85613  ,1  ,337,2019-02-26
page005.html,125,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=310,GenRx Phamacy  ,Scottsdale  ,85255  ,7  ,310,2018-09-19
page006.html,126,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=387,Global Solar  ,Tucson  ,85747  ,6  ,387,2019-10-24
page006.html,127,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=91,"Global Solar Energy, Inc.  ",Tucson  ,85747  ,6  ,91,2012-07-19
page006.html,128,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=138,GNC Live Well  ,Phoenix  ,85043  ,5  ,138,2013-10-10
page006.html,129,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=253,GO Digital  ,Phx  ,85004  ,5  ,253,2016-11-17
page006.html,130,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=416,Go Rentals  ,Newport  ,92660  ,7  ,416,2020-03-23
page006.html,131,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=226,"Golden EagleDistributors, Inc.  ",Tucson  ,27506  ,6  ,226,2016-01-11
page006.html,132,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=227,"Golden EagleDistributors, Inc.  ",Tucson  ,27506  ,2  ,227,2016-01-11
page006.html,133,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=228,"Golden EagleDistributors, Inc.  ",Tucson  ,27506  ,7  ,228,2016-01-11
page006.html,134,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=229,"Golden EagleDistributors, Inc.  ",Tucson  ,27506  ,10  ,229,2016-01-11
page006.html,135,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=230,"Golden EagleDistributors, Inc.  ",Tucson  ,27506  ,14  ,230,2016-01-11
page006.html,136,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=231,"Golden EagleDistributors, Inc.  ",Tucson  ,27506  ,7  ,231,2016-01-11
page006.html,137,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=146,Greenbrier Rail Services  ,Lake Oswego  ,97035  ,6  ,146,2013-05-05
page006.html,138,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=167,GT Advanced Technologies  ,Mesa  ,85212  ,7  ,167,2014-10-16
page006.html,139,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=95,Guardian Building Products  ,Greer  ,29651  ,11  ,95,2012-10-15
page006.html,140,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=209,"Haggen, Inc.  ",Irvine  ,92618  ,6  ,209,2015-08-14
page006.html,141,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=211,"Haggen, Inc.  ",Irvine  ,92618  ,6  ,211,2015-08-14
page006.html,142,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=212,"Haggen, Inc.  ",Irvine  ,92618  ,7  ,212,2015-08-14
