id,page_num,page_name,full_link,company,co_hq_city,co_hq_state,co_hq_zip,labor_area,notice_date,num_employees_affected
328,page004.html,id=328,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=328,Combat Tactical Training Range  ,Yuma  ,AZ,85365  ,9  ,2019-02-07,52
204,page004.html,id=204,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=204,Community Partners Inc  ,Tucson  ,AZ,85711  ,6  ,2015-07-27,93
391,page004.html,id=391,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=391,"Compass USA - Holy Cross  ",Tucson  ,AZ,85621  ,6  ,2019-12-30,12
390,page004.html,id=390,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=390,Compass USA - St Joseph's  ,Tucson  ,AZ,85711  ,6  ,2019-12-30,81
389,page004.html,id=389,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=389,Compass USA - St Mary' Hospital  ,Tucson  ,AZ,85745  ,6  ,2019-12-30,75
352,page004.html,id=352,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=352,Conair Corporation  ,Stamford  ,CT,06902  ,7  ,2019-05-13,108
319,page004.html,id=319,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=319,Concentrix Corporation  ,Tucson  ,AZ,85705  ,6  ,2019-04-05,785
290,page004.html,id=290,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=290,Conifer Health Solutions  ,Phoenix  ,AZ,85020  ,5  ,2019-02-28,2
63,page004.html,id=63,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=63,Covance Laboratories Inc.  ,Chandler  ,AZ,852861703  ,7  ,2012-05-02,133
29,page004.html,id=29,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=29,Crowne Plaza Hotel  ,Phoenix  ,AZ,85029  ,7  ,2010-06-30,79
272,page004.html,id=272,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=272,Da Vita Rx  ,Coppell  ,TX,75019  ,7  ,2017-04-19,83
224,page004.html,id=224,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=224,"DAL Global Services, LLC  ",Atlanta  ,GA,303206001  ,5  ,2015-11-16,162
242,page004.html,id=242,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=242,DataSphere Technologies  ,Bellevue  ,AZ,98008  ,7  ,2016-05-30,84
159,page004.html,id=159,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=159,Davidson Hotels & Resorts  ,Alanta  ,GA,30346  ,7  ,2014-06-26,51
132,page004.html,id=132,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=132,Delaware North Companies Travel Hospitality Serv  ,Buffalo  ,NY,14202  ,5  ,2013-12-20,51
57,page004.html,id=57,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=57,Deluxe Corporation  ,Phoenix  ,AZ,850347244  ,7  ,2011-05-24,176
418,page004.html,id=418,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=418,Denny's (Beshay Enterprises)  ,Murrieta  ,CA,92562  ,2003  ,2020-03-23,63
428,page004.html,id=428,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=428,Denny's (Beshay Enterprises)  ,Murrieta  ,CA,92562  ,5  ,2020-03-23,66
429,page004.html,id=429,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=429,Denny's (Beshay Enterprises)  ,Murrieta  ,CA,92562  ,5  ,2020-03-23,65
430,page004.html,id=430,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=430,Denny's (Beshay Enterprises)  ,Murrieta  ,CA,92562  ,5  ,2020-03-23,49
431,page004.html,id=431,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=431,Denny's (Beshay Enterprises)  ,Murrieta  ,CA,92562  ,5  ,2020-03-23,62
432,page004.html,id=432,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=432,Denny's (Beshay Enterprises)  ,Murrieta  ,CA,92562  ,5  ,2020-03-23,54
52,page004.html,id=52,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=52,"DeVry, Inc.  ",Phoenix  ,AZ,85021  ,7  ,2011-06-17,150
